7.3790 	EXP 	window1: blendMode = 'avg'
7.3793 	EXP 	window1: blendMode = 'avg'
7.3795 	EXP 	window1: blendMode = 'avg'
7.3962 	EXP 	window1: blendMode = 'avg'
7.3964 	EXP 	window1: blendMode = 'avg'
7.3966 	EXP 	window1: blendMode = 'avg'
7.4132 	EXP 	window1: blendMode = 'avg'
7.4135 	EXP 	window1: blendMode = 'avg'
7.4137 	EXP 	window1: blendMode = 'avg'
7.4294 	EXP 	window1: blendMode = 'avg'
7.4297 	EXP 	window1: blendMode = 'avg'
7.4299 	EXP 	window1: blendMode = 'avg'
7.4464 	EXP 	window1: blendMode = 'avg'
7.4467 	EXP 	window1: blendMode = 'avg'
7.4469 	EXP 	window1: blendMode = 'avg'
7.4622 	EXP 	window1: blendMode = 'avg'
7.4624 	EXP 	window1: blendMode = 'avg'
7.4626 	EXP 	window1: blendMode = 'avg'
7.4794 	EXP 	window1: blendMode = 'avg'
7.4797 	EXP 	window1: blendMode = 'avg'
7.4799 	EXP 	window1: blendMode = 'avg'
7.4967 	EXP 	window1: blendMode = 'avg'
7.4969 	EXP 	window1: blendMode = 'avg'
7.4971 	EXP 	window1: blendMode = 'avg'
7.5126 	EXP 	window1: blendMode = 'avg'
7.5129 	EXP 	window1: blendMode = 'avg'
7.5131 	EXP 	window1: blendMode = 'avg'
7.5296 	EXP 	window1: blendMode = 'avg'
7.5298 	EXP 	window1: blendMode = 'avg'
7.5300 	EXP 	window1: blendMode = 'avg'
7.5457 	EXP 	window1: blendMode = 'avg'
7.5460 	EXP 	window1: blendMode = 'avg'
7.5462 	EXP 	window1: blendMode = 'avg'
7.5629 	EXP 	window1: blendMode = 'avg'
7.5632 	EXP 	window1: blendMode = 'avg'
7.5634 	EXP 	window1: blendMode = 'avg'
7.5801 	EXP 	window1: blendMode = 'avg'
7.5804 	EXP 	window1: blendMode = 'avg'
7.5806 	EXP 	window1: blendMode = 'avg'
7.5964 	EXP 	window1: blendMode = 'avg'
7.5966 	EXP 	window1: blendMode = 'avg'
7.5968 	EXP 	window1: blendMode = 'avg'
7.6131 	EXP 	window1: blendMode = 'avg'
7.6134 	EXP 	window1: blendMode = 'avg'
7.6136 	EXP 	window1: blendMode = 'avg'
7.6291 	EXP 	window1: blendMode = 'avg'
7.6293 	EXP 	window1: blendMode = 'avg'
7.6295 	EXP 	window1: blendMode = 'avg'
7.6461 	EXP 	window1: blendMode = 'avg'
7.6463 	EXP 	window1: blendMode = 'avg'
7.6465 	EXP 	window1: blendMode = 'avg'
7.6633 	EXP 	window1: blendMode = 'avg'
7.6635 	EXP 	window1: blendMode = 'avg'
7.6637 	EXP 	window1: blendMode = 'avg'
7.6793 	EXP 	window1: blendMode = 'avg'
7.6795 	EXP 	window1: blendMode = 'avg'
7.6797 	EXP 	window1: blendMode = 'avg'
7.6964 	EXP 	window1: blendMode = 'avg'
7.6967 	EXP 	window1: blendMode = 'avg'
7.6969 	EXP 	window1: blendMode = 'avg'
7.7124 	EXP 	window1: blendMode = 'avg'
7.7126 	EXP 	window1: blendMode = 'avg'
7.7129 	EXP 	window1: blendMode = 'avg'
7.7290 	EXP 	window1: blendMode = 'avg'
7.7292 	EXP 	window1: blendMode = 'avg'
7.7294 	EXP 	window1: blendMode = 'avg'
7.7459 	EXP 	window1: blendMode = 'avg'
7.7461 	EXP 	window1: blendMode = 'avg'
7.7463 	EXP 	window1: blendMode = 'avg'
7.7631 	EXP 	window1: blendMode = 'avg'
7.7633 	EXP 	window1: blendMode = 'avg'
7.7636 	EXP 	window1: blendMode = 'avg'
7.7791 	EXP 	window1: blendMode = 'avg'
7.7793 	EXP 	window1: blendMode = 'avg'
7.7795 	EXP 	window1: blendMode = 'avg'
7.7963 	EXP 	window1: blendMode = 'avg'
7.7965 	EXP 	window1: blendMode = 'avg'
7.7967 	EXP 	window1: blendMode = 'avg'
7.8123 	EXP 	window1: blendMode = 'avg'
7.8125 	EXP 	window1: blendMode = 'avg'
7.8127 	EXP 	window1: blendMode = 'avg'
7.8294 	EXP 	window1: blendMode = 'avg'
7.8297 	EXP 	window1: blendMode = 'avg'
7.8299 	EXP 	window1: blendMode = 'avg'
7.8467 	EXP 	window1: blendMode = 'avg'
7.8469 	EXP 	window1: blendMode = 'avg'
7.8471 	EXP 	window1: blendMode = 'avg'
7.8631 	EXP 	window1: blendMode = 'avg'
7.8633 	EXP 	window1: blendMode = 'avg'
7.8635 	EXP 	window1: blendMode = 'avg'
7.8794 	EXP 	window1: blendMode = 'avg'
7.8796 	EXP 	window1: blendMode = 'avg'
7.8798 	EXP 	window1: blendMode = 'avg'
7.8965 	EXP 	window1: blendMode = 'avg'
7.8968 	EXP 	window1: blendMode = 'avg'
7.8970 	EXP 	window1: blendMode = 'avg'
7.9125 	EXP 	window1: blendMode = 'avg'
