obrazek,podle,corrans,zpetnavazba,pauza,opakovani,opakovani_vbloku,blokkonec
AnE0L0R1R.png,vy,right,0,0,3,2,0
AnE0R1R0L.png,vy,right,0,0,3,2,0
AnE0R0W0R.png,vy,left,0,0,3,2,0
AnE1R0W0R.png,vy,left,0,0,3,2,0
AnE1L1W1L.png,vy,left,0,0,3,2,0
AE1Z0R0R.png,vy,right,0,0,3,2,0
AE0S0W0R.png,vy,right,0,0,3,2,0
AE0S1R1L.png,vy,left,0,0,3,2,0
AE1S0W0R.png,vy,right,0,0,3,2,0
AE0Z1R1R.png,vy,right,0,0,3,2,0
AE1S1W1L.png,vy,left,0,0,3,2,0
AE1Z1R0R.png,vy,right,0,0,3,2,0
AnE0R1W0L.png,vy,right,0,0,3,2,0
AnE0R0R1R.png,vy,left,0,0,3,2,0
AE0S0W0L.png,vy,left,0,0,3,2,1
AnE1R1W0R.png,znacka,right,0,1,3,3,0
AnE0L1R0L.png,znacka,right,0,0,3,3,0
AnE1L1W1R.png,znacka,left,0,0,3,3,0
AE0Z1R1L.png,znacka,left,0,0,3,3,0
AE1Z0R1L.png,znacka,left,0,0,3,3,0
AnE0R1R1R.png,znacka,right,0,0,3,3,0
AnE0L0R1L.png,znacka,right,0,0,3,3,0
AE0Z0R1R.png,znacka,right,0,0,3,3,0
AE0Z0W1L.png,znacka,left,0,0,3,3,0
AnE1R1R0R.png,znacka,right,0,0,3,3,0
AnE1R1R1R.png,znacka,right,0,0,3,3,0
AE0Z1R1R.png,znacka,right,0,0,3,3,0
AnE1L1W1L.png,znacka,right,0,0,3,3,0
AE0Z1W1R.png,znacka,right,0,0,3,3,0
AE1S1W1L.png,znacka,left,0,0,3,3,0
AnE0L1R0R.png,znacka,left,0,0,3,3,1
AnE0L1R0R.png,vy,right,0,1,4,1,0
AnE0R0R0R.png,vy,left,0,0,4,1,0
AE0S0W1L.png,vy,left,0,0,4,1,0
AE0S0W1R.png,vy,right,0,0,4,1,0
AE1Z0R0L.png,vy,left,0,0,4,1,0
AnE0R1R1L.png,vy,right,0,0,4,1,0
AE0Z0R1R.png,vy,right,0,0,4,1,0
AnE1L0W0R.png,vy,right,0,0,4,1,0
AnE1R1R0L.png,vy,right,0,0,4,1,0
AnE0L1W1R.png,vy,right,0,0,4,1,0
AnE1R0R0R.png,vy,left,0,0,4,1,0
AnE1R1W1R.png,vy,left,0,0,4,1,0
AnE0L1W0R.png,vy,right,0,0,4,1,0
